id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
816783428767938211,Cool studio 3 min from subway!,47125955,Rebeca,Queens,Long Island City,40.761327314150755,-73.92675776430373,Entire home/apt,110,30,9,2023-09-25,0.96,2,363,9,
8686040,LARGE MANHATTAN ONE BEDROOM,45608786,Virginia,Manhattan,Inwood,40.85999,-73.9285,Entire home/apt,,30,5,2015-11-22,0.05,1,0,0,
12426778,TH BRKLYN,7963317,Rob,Brooklyn,Boerum Hill,40.68834,-73.98601,Private room,,30,0,,,1,0,0,
22671517,55 washington,3428456,Yoon,Brooklyn,DUMBO,40.70149,-73.98886,Private room,,30,0,,,1,0,0,
35776956,"luxury apt in long lsland city 
1min to subway",221012726,Lyn,Queens,Long Island City,40.74901,-73.93898,Private room,,30,1,2019-07-31,0.02,1,0,0,
52331775,Queen Bedroom A w/Private Bathroom in #608,305240193,June,Manhattan,Harlem,40.804848668970294,-73.94918298019662,Private room,,30,0,,,320,189,0,
1081507139395912406,Room in upscale Todt Hill,389563894,Chimene,Staten Island,Todt Hill,40.58559,-74.10713,Private room,55,30,0,,,2,269,0,
7389120,Boutique apartment  by the Ocean,7365834,Alex,Brooklyn,Sheepshead Bay,40.58418,-73.95929,Entire home/apt,99,30,77,2023-08-09,0.73,4,365,3,
786149074369437257,Apartment in the Bronx,19876158,Nelson,Bronx,Wakefield,40.89072879241543,-73.8456871936835,Private room,152,30,0,,,1,364,0,
777572930730588568,1 private Bedroom. With Bathroom,474691192,Subhan,Bronx,Allerton,40.8666145,-73.85497769999999,Private room,500,30,0,,,1,365,0,
1047936827694607886,近缅街地铁站41 st Ave and Parsons Blvd,2695722,Ling,Queens,Flushing,40.76183706082771,-73.82133597096276,Private room,54,30,0,,,1,270,0,
977732692492896948,LUX Private NYC 2 BDRM APT,354988446,Johan,Manhattan,Harlem,40.82542,-73.94845,Entire home/apt,321,3,6,2024-02-17,2.54,1,240,6,Exempt
629211160504994365,"31Private bed, bathroom -3 mins to shopping center",19303369,Hiroki,Queens,Flushing,40.75656,-73.83507,Private room,36,30,0,,,273,55,0,
6939597,Brownstone garden space,2723812,Libertad,Bronx,Mott Haven,40.81113098561469,-73.9237869565086,Private room,120,4,98,2023-12-19,0.93,1,303,16,OSE-STRREG-0000333
681504125966887847,NYC Astoria-LaGuardia #2 Wide PrivateRoom KingBed,303020032,David,Queens,Ditmars Steinway,40.7786378,-73.9072683,Private room,50,30,20,2023-01-04,1.03,13,0,0,
20481814,R1 Room*Private RM&bath2mins to subway6minsto LIRR,110346349,Diana,Queens,Forest Hills,40.7139,-73.83523,Private room,57,30,36,2018-09-21,0.45,3,365,0,
588970063349178677,Luxurious 2 bedroom/beach front / 10 mins from jfk,18679866,David,Queens,Arverne,40.59414,-73.79372,Entire home/apt,96,30,23,2024-02-12,0.97,3,298,13,
911476159473959996,Spacious 3 Bedroom House with a beautiful porch,134599908,Zhanna,Queens,Kew Gardens Hills,40.72297641345533,-73.81387778954078,Entire home/apt,156,30,3,2024-02-04,0.40,2,363,3,
26474402,Comfortable and relaxing place,174458184,Zoraida,Bronx,Baychester,40.87232,-73.84146,Private room,98,30,56,2023-08-15,1.69,1,365,9,
45345628,"Blueground | FiDi, fitness center, lounge",107434423,Blueground,Manhattan,Financial District,40.7056,-74.00878,Entire home/apt,236,31,0,,,842,333,0,
973653,A true Sanctuary in Harlem NYC,4770121,Somaya,Manhattan,Harlem,40.82405,-73.94,Entire home/apt,100,185,0,,,3,358,0,
1077180150137599771,Cozy space in NYC,2552575,Mikhail,Queens,Ditmars Steinway,40.77174,-73.91297,Entire home/apt,75,30,0,,,1,216,0,
856651933812762904,Beautiful 3 bedroom APT in Queens NY,52339704,Angel R.,Queens,East Elmhurst,40.7583396212706,-73.88312516931735,Entire home/apt,199,30,22,2023-12-09,2.01,3,312,22,
923894804847429517,Stunning King Sized Ensuite | Message 2 Book,522559910,Will,Queens,Maspeth,40.735166335899336,-73.89422662713137,Entire home/apt,148,30,6,2023-11-07,0.94,3,362,6,
839205621365240657,Amazing room near Yankee Stadium,477464208,Find Dream Rentals,Bronx,Melrose,40.82255880611779,-73.9138516880504,Private room,79,30,1,2023-09-05,0.16,4,180,1,
53922202,☆Renovated whole 2BR floor in Jackson Heights☆,19303369,Hiroki,Queens,Jackson Heights,40.7492,-73.89342,Entire home/apt,150,30,3,2022-04-10,0.11,273,310,0,
725469503614707754,Lovely 3 bedroom apartment in Western Queens,481311244,Fatema,Queens,Jackson Heights,40.7534854,-73.8970688,Entire home/apt,150,30,2,2023-01-05,0.13,1,365,0,
38202642,Apartment with basement private entrance,290200406,Ingrid,Brooklyn,Canarsie,40.64689,-73.89215,Entire home/apt,70,30,143,2024-01-31,2.61,1,59,40,
916854231447228894,One bedroom apartment,51257906,Rebecca,Queens,Jackson Heights,40.75241998096983,-73.89364790120311,Entire home/apt,171,30,8,2023-10-19,0.94,1,90,8,
970497589664733128,Home away from home.,411752587,Letechia,Brooklyn,Canarsie,40.6420662,-73.9006057,Entire home/apt,180,30,9,2023-10-23,1.53,1,364,9,
789320175843442930,Traditional House-Worth the stay,182980197,Jampa,Queens,East Elmhurst,40.756613937115084,-73.89692863237146,Entire home/apt,300,30,19,2023-11-01,1.32,6,365,16,
47316506,Private 1 bed. Luxury Getaway!,200426688,Daniel,Brooklyn,Canarsie,40.63503,-73.89428,Entire home/apt,169,2,35,2024-02-19,2.95,1,281,35,OSE-STRREG-0001001
639317233046143765,Stylish brand new 2 bedroom close to LGA airport,278790486,Tenzin,Queens,East Elmhurst,40.7568116921765,-73.89757485501708,Entire home/apt,264,30,13,2023-01-04,0.66,1,0,0,
1056509899939593559,Daverina Gateway,199271548,David,Brooklyn,Canarsie,40.64677,-73.89516,Entire home/apt,104,30,0,,,1,270,0,
848719007010484388,Lovely 3 bedrooms unit w / walking distance to LGA,240907115,Joel,Queens,East Elmhurst,40.759478748567695,-73.86870258140218,Entire home/apt,239,30,32,2023-11-25,3.01,4,90,32,
15811249,La Guardia Place,102328145,Mercedes,Queens,East Elmhurst,40.761593749980825,-73.86852769139779,Entire home/apt,79,30,0,,,1,269,0,
15517104,Two Rooms In a Charming Brooklyn Townhouse,1486872,Kelly,Brooklyn,Gowanus,40.66864,-73.99188,Private room,225,3,130,2023-12-06,1.45,2,11,19,OSE-STRREG-0000224
1051535956757013452,Spacious 2Bd Near Dumbo+W/D,491974395,Renzo,Brooklyn,Brooklyn Heights,40.69597,-73.9947,Entire home/apt,232,30,0,,,3,109,0,
31614670,XL Private Bedroom in the Heart of Brooklyn,92588965,Kam,Brooklyn,East Flatbush,40.64905,-73.92848,Private room,50,30,27,2024-02-01,0.43,4,248,1,
52611526,Bright Clean Room near Manhattan Bridge w/ balcony,50881897,John,Brooklyn,Vinegar Hill,40.69942206736262,-73.98471948744731,Private room,300,2,33,2022-05-16,1.13,2,155,0,OSE-STRREG-0001354
5060118,The Cozy Blue,3737351,Lawrence,Brooklyn,Canarsie,40.63841,-73.91589,Private room,48,30,93,2023-11-26,0.87,2,364,24,
924597757936844689,Private Room in Brooklyn,352710338,Alex,Brooklyn,Gowanus,40.68366114633229,-73.98926403354186,Private room,49,30,0,,,10,364,0,
1097075517686404851,Room in Upper West Side,562233935,Kristina,Manhattan,Upper West Side,40.803539349802456,-73.96644322407086,Private room,40,30,0,,,19,248,0,
48547934,My Bedroom,28722667,Qudsia,Brooklyn,Flatlands,40.62478,-73.92881,Private room,29,30,18,2023-12-05,0.58,1,93,4,
14262636,Spacious and Clean,86892032,Marian,Queens,Rosedale,40.65696,-73.7286,Entire home/apt,90,2,14,2024-01-01,0.32,1,361,2,OSE-STRREG-0000699
47044684,ZEN RETREAT,380274974,Andrea,Brooklyn,Canarsie,40.64565,-73.89302,Entire home/apt,169,30,84,2023-08-25,2.17,1,179,8,
52557630,Adorable 2 Bedroom with Free Parking on Premises,407864820,Sherma,Brooklyn,Canarsie,40.6449,-73.88996,Entire home/apt,122,30,5,2023-06-25,0.35,1,337,4,
863970120056671899,Spacious Luxe Canarsie 2 Bdr,2219255,Natalie,Brooklyn,Canarsie,40.64664958758525,-73.89684289086172,Entire home/apt,229,30,1,2023-12-09,0.33,6,37,1,
853033045815699256,Demo apartamento,65144876,Nicolás,Queens,Woodside,40.7454139,-73.8982532,Entire home/apt,1000,30,0,,,1,365,0,
993465561394161427,Fantastic Flat in a Prime Location!  DeeDee Place,374968989,Emmanuel,Brooklyn,East Flatbush,40.63739,-73.9363578,Private room,86,2,12,2024-02-04,3.50,1,331,12,OSE-STRREG-0000787
51614134,Bliss in Brooklyn. 1bedroom in house with backyard,418124294,Kim,Brooklyn,Canarsie,40.64479,-73.91455,Private room,49,30,177,2023-10-13,5.70,1,90,49,
45936,Couldn't Be Closer To Columbia Uni,867225,Rahul,Manhattan,Morningside Heights,40.8063,-73.95985,Private room,75,31,133,2023-05-31,0.83,2,248,2,
52318271,Chic Studio Clinton Hill,37046945,SoCo Property,Brooklyn,Fort Greene,40.6892,-73.98101,Entire home/apt,141,30,13,2023-06-07,0.43,5,65,3,
19439956,LUXURY APARTMENT 5 MIN TO LGA 20 TO JFK.,136300414,Gonzalo,Queens,East Elmhurst,40.75706,-73.89671,Entire home/apt,2000,30,82,2020-01-01,1.06,1,365,0,
31121209,Industrialized n the City,37401126,Leah,Brooklyn,East Flatbush,40.64149,-73.93961,Private room,45,30,173,2023-08-27,2.81,2,365,40,
1077367989471213668,A quiet family neighborhood,558688787,Victoria,Queens,Rosedale,40.65211,-73.74471,Entire home/apt,110,30,0,,,1,245,0,
612872711453169565,Quaint BlueRoom. For Personal Comfort.,448112944,HeartStone,Brooklyn,Canarsie,40.64303,-73.89208,Entire home/apt,120,30,4,2022-10-16,0.19,1,365,0,
823475329896774330,Cozy sun room near campus for traveling through!,68967630,Candice,Manhattan,Morningside Heights,40.803779850567345,-73.9643568930822,Private room,75,30,11,2023-08-28,1.20,2,365,11,
4759680,HUGE Beautiful Brooklyn Loft,11045893,Kimberly Nicky,Brooklyn,Red Hook,40.67976,-74.00631,Private room,65,30,21,2023-01-03,0.20,1,155,0,
856918,Large Room in Garden Duplex,4481005,Karen,Brooklyn,Park Slope,40.67562,-73.98259,Private room,73,30,16,2021-10-15,0.13,2,65,0,
29684573,Sean Cozy Room In Brooklyn On A Dead End Block,31039254,Sean,Brooklyn,East Flatbush,40.64904,-73.93517,Private room,85,1,128,2024-02-12,2.19,1,353,32,OSE-STRREG-0000660
53997433,No smoking/Vaping elegant bedroom in BK,397163059,Jean,Brooklyn,East Flatbush,40.63708,-73.93574,Private room,65,30,102,2023-12-04,3.83,1,178,45,
966141894035636477,Regal Inn & Suites NY 2 Double Bed,533882925,Regal,Queens,Flushing,40.761422,-73.83319709999999,Private room,220,1,3,2023-09-22,0.49,2,339,3,Exempt
1057206257573876254,Park Slope Garden Apartment,89593269,Till,Brooklyn,Park Slope,40.673288177308066,-73.98229582564878,Private room,110,30,0,,,1,238,0,
15083823,Entire Lower part of artists rustic duplex 2rooms,7018895,Risha,Brooklyn,Red Hook,40.67763,-74.012,Private room,110,5,212,2023-12-20,2.34,1,220,23,OSE-STRREG-0000026
38663,Luxury Brownstone in Boerum Hill,165789,Sarah,Brooklyn,Boerum Hill,40.68442,-73.98068,Private room,900,30,43,2023-08-30,0.30,1,350,3,
15522627,Cozy Quiet Upgraded Prvt Rm in House in Brooklyn!,90771408,Elba,Brooklyn,Gowanus,40.66727,-73.99173,Private room,80,30,77,2023-11-05,0.86,1,354,14,
49469061,ROOM w Garden view & updated kitchen in S. Slope,14840359,Jennifer,Brooklyn,Windsor Terrace,40.65888,-73.98466,Private room,111,1,101,2024-02-24,2.99,1,28,39,OSE-STRREG-0000517
859676226888260227,Lurelton Luxury,390939824,Adenomo,Queens,Laurelton,40.667705700627316,-73.74467980116606,Entire home/apt,300,30,16,2023-09-11,1.62,1,157,16,
753584699878284731,Hot 1 bedroom Cobble hill,21650611,Dean,Brooklyn,Carroll Gardens,40.68278,-73.99151,Entire home/apt,111,30,53,2023-12-31,3.57,2,152,48,
40068404,"Sunny, adjoining BRs in shared duplex w/deck",514261,Vanessa,Brooklyn,South Slope,40.6658,-73.98625,Private room,83,30,4,2023-10-02,0.08,2,110,1,
43251669,Awesome Private Room Park Slope,341908723,Aleph,Brooklyn,Park Slope,40.67069,-73.98821,Private room,51,30,3,2022-03-06,0.08,32,295,0,
136493,Historical space with exceptional light & art,663384,Irena,Brooklyn,Park Slope,40.67497,-73.97796,Private room,325,30,42,2023-08-29,0.30,1,87,6,
649814577876399920,Agradable habitación en apartamento familiar,187326900,Leonardo,Queens,Forest Hills,40.7175,-73.83443,Private room,83,30,0,,,1,365,0,
777819432822411458,Downtown Brooklyn Studio Apt,164176914,Katherin,Brooklyn,Downtown Brooklyn,40.69386,-73.98543,Entire home/apt,115,30,3,2024-02-28,0.66,1,208,3,
66974,"Lovely, Modern, Garden Apartment",329436,Jana,Brooklyn,Gowanus,40.68088,-73.99102,Entire home/apt,200,30,242,2023-12-08,1.69,2,218,22,
917456283515894839,Private bedroom | shared kitch bath | 30 Days min,480764728,Benjamin,Brooklyn,Sheepshead Bay,40.6022776,-73.9371647,Private room,53,30,0,,,1,357,0,
721733540827419505,Lovely Shared 2-br Apt Steps off 5th Ave/Midtown,375040445,James,Manhattan,Midtown,40.76257,-73.97725,Private room,133,30,5,2022-11-20,0.29,1,363,0,
30501956,"Entire studio, 3 beds w/ Kitchenette, own bath.",139195158,Gina,Queens,Woodside,40.75341,-73.90115,Private room,125,30,76,2023-12-04,1.20,1,363,21,
705397728780327740,"Le Cypress (2) furnished room, 5 min from Subway",148816013,Pauline,Brooklyn,Cypress Hills,40.68085991337582,-73.8904696883606,Private room,50,30,8,2024-01-02,0.47,5,328,6,
1021965378817390715,"2Unique room, 2 min walk to subway, and 2 bathroom",488793365,Misbau,Brooklyn,East New York,40.6660982,-73.8931984,Private room,106,1,21,2024-03-07,11.05,3,146,21,OSE-STRREG-0000675
46544,Park Slope haven 15 mins from Soho,8198,Monica,Brooklyn,Park Slope,40.67979,-73.97978,Entire home/apt,150,30,57,2024-01-04,0.35,1,38,1,
9900100,"Sunny, Cozy Single Room in Brooklyn",34991003,Karen,Brooklyn,East Flatbush,40.64608,-73.92479,Private room,34,30,12,2023-11-03,0.15,4,364,2,
51933590,"Lovely, Spacious Garden Apartment in Park Slope",4579626,Karen,Brooklyn,Park Slope,40.6743,-73.98095,Entire home/apt,111,30,10,2024-02-04,0.35,1,144,5,
1068865752426485135,Luxury in Manhattan/Inquire about SHORT stay!,386661152,Bridgette,Manhattan,Morningside Heights,40.80454169852395,-73.95970893149914,Entire home/apt,250,30,0,,,1,55,0,
50679257,"Sunny, spacious & serene - with private rooftop!",167364935,Deb,Manhattan,Morningside Heights,40.80689,-73.96579,Entire home/apt,200,30,17,2023-08-30,0.95,1,81,9,
995846221924328609,Central Living at Columbia university,417839501,Address In NYC,Manhattan,Morningside Heights,40.804110474662764,-73.9649770266393,Entire home/apt,357,4,1,2023-12-06,0.32,1,208,1,Exempt
15423962,Cozy studio in Brooklyn,98726662,Lei,Brooklyn,Sheepshead Bay,40.61021,-73.9583,Private room,42,30,20,2022-06-01,0.22,3,36,0,
